time,altitude,velocity
14.300000,13595.793412,15.263170
15.500000,13712.939208,3.325972
23.900000,10916.694660,-62.971208
27.300000,8553.579249,-75.159902
3.000000,1702.881464,126.703188
5.300000,5933.523378,221.267556
12.500000,13142.026621,34.462531
24.300000,10662.012416,-64.810852
24.700000,10400.151742,-66.531366
27.900000,8098.893370,-76.617054
28.200000,7868.367164,-77.283239
35.300000,2033.530636,-85.254641
5.400000,6154.790933,213.993793
17.900000,13523.456730,-19.891294
19.500000,13096.638384,-34.089157
20.400000,12760.529752,-41.299829
30.300000,6205.844041,-80.964196
2.400000,1047.012452,97.142496
4.000000,3203.565293,179.151272
6.300000,7861.205189,163.325184
6.600000,8338.134685,150.632140
9.500000,11510.439565,75.847817
15.600000,13716.265180,2.343550
18.100000,13482.743996,-21.746718
19.400000,13129.888641,-33.250257
25.300000,9994.922695,-68.899334
28.100000,7945.432758,-77.065595
32.200000,4646.438302,-83.152030
33.000000,3978.745243,-83.837407
34.300000,2883.260989,-84.725103
35.600000,1777.627352,-85.391972
10.500000,12195.205263,59.983861
13.200000,13359.789208,26.720384
14.900000,13672.280877,9.249580
18.500000,13390.257032,-25.395322
36.600000,921.848510,-85.788935
3.100000,1829.584652,131.798084
3.800000,2861.302136,168.462498
17.000000,13659.920829,-11.335246
23.200000,11343.639033,-59.452092
34.200000,2967.926428,-84.665439
11.400000,12684.838811,47.716568
14.000000,13543.895666,18.321832
10.700000,12313.729523,57.118929
14.800000,13662.036809,10.244068
21.000000,12501.468346,-45.746906
25.400000,9926.023362,-69.270185
37.200000,406.604371,-85.987965
4.300000,3757.095818,195.227029
7.300000,9315.616064,126.175850
10.800000,12370.848452,55.718589
21.300000,12362.100024,-47.857606
32.100000,4729.496010,-83.057708
5.600000,6575.911682,200.631799
13.300000,13386.509592,25.647616
25.100000,10131.582056,-68.137546
30.200000,6286.666840,-80.822798
5.900000,7159.655388,183.080347
7.500000,9564.940515,120.218364
22.800000,11576.016909,-57.263431
31.100000,5554.411356,-81.994136
34.600000,2628.911858,-84.896409
1.100000,194.131745,40.151646
3.600000,2540.318915,157.841794
16.300000,13712.065153,-4.521589
17.800000,13542.413212,-18.956482
21.700000,12166.583922,-50.552992
22.000000,12012.975900,-52.484974
22.600000,11688.831855,-56.119369
28.600000,7557.971151,-78.111373
